,FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,PH,Sulphates,Alcohol,Class
0,0.677083,0.136364,0.717949,0.068966,0.107612,0.225352,0.339623,0.582232,0.26087,0.116129,0.25,0
1,0.333333,0.181818,0.653846,0.062069,0.805774,0.225352,0.314465,0.501468,0.156522,0.43871,0.142857,0
2,0.4375,0.068182,0.615385,0.062069,0.112861,0.394366,0.339623,0.494126,0.46087,0.083871,0.178571,0
3,0.229167,0.272727,0.179487,0.103448,0.133858,0.28169,0.213836,0.494126,0.495652,0.148387,0.232143,0
4,0.322917,0.551136,0.0,0.075862,0.125984,0.098592,0.062893,0.464758,0.452174,0.122581,0.25,0
5,0.229167,0.596591,0.0,0.110345,0.186352,0.295775,0.194969,0.479442,0.521739,0.109677,0.392857,0
6,0.229167,0.505682,0.153846,0.675862,0.102362,0.549296,0.484277,0.67768,0.513043,0.077419,0.178571,0
7,0.322917,0.551136,0.0,0.317241,0.136483,0.056338,0.075472,0.626285,0.469565,0.096774,0.214286,0
8,0.322917,0.5,0.179487,0.103448,0.136483,0.028169,0.056604,0.545521,0.486957,0.129032,0.428571,0
9,0.291667,0.375,0.25641,0.117241,0.782152,0.098592,0.050314,0.494126,0.304348,0.322581,0.375,0
10,0.197917,0.409091,0.051282,0.089655,0.091864,0.098592,0.056604,0.406021,0.469565,0.148387,0.178571,0
11,0.197917,0.386364,0.051282,0.082759,0.089239,0.070423,0.050314,0.398678,0.46087,0.154839,0.178571,0
12,0.302083,0.397727,0.192308,0.131034,0.199475,0.450704,0.421384,0.398678,0.269565,0.148387,0.321429,0
13,0.270833,0.261364,0.397436,0.103448,0.104987,0.112676,0.251572,0.450073,0.478261,0.090323,0.178571,0
14,0.34375,0.619318,0.064103,0.068966,0.104987,0.098592,0.081761,0.450073,0.417391,0.354839,0.375,0
15,0.3125,0.534091,0.102564,0.068966,0.110236,0.197183,0.132075,0.486784,0.4,0.090323,0.196429,0
16,0.21875,0.710227,0.0,0.103448,0.183727,0.183099,0.150943,0.479442,0.573913,0.096774,0.410714,0
17,0.166667,0.159091,0.615385,0.062069,0.091864,0.239437,0.345912,0.428047,0.504348,0.245161,0.339286,0
18,0.40625,0.375,0.358974,0.068966,0.199475,0.267606,0.81761,0.523495,0.06087,1.0,0.267857,0
19,0.40625,0.375,0.358974,0.068966,0.199475,0.267606,0.81761,0.523495,0.06087,1.0,0.267857,0
20,0.0,0.5,0.217949,0.096552,0.062992,0.225352,0.628931,0.229809,0.86087,0.129032,0.803571,0
21,0.354167,0.4375,0.230769,0.068966,0.120735,0.169014,0.18239,0.523495,0.382609,0.122581,0.107143,0
22,0.375,0.511364,0.384615,0.082759,0.131234,0.140845,0.27673,0.523495,0.469565,0.135484,0.321429,0
23,0.322917,0.386364,0.384615,0.068966,0.107612,0.098592,0.100629,0.428047,0.391304,0.103226,0.357143,0
24,0.354167,0.4375,0.230769,0.068966,0.120735,0.169014,0.18239,0.523495,0.382609,0.122581,0.107143,0
25,0.34375,0.193182,0.679487,0.110345,0.149606,0.239437,0.465409,0.552863,0.443478,0.258065,0.214286,0
26,0.5625,0.170455,0.564103,0.096552,0.120735,0.295775,0.251572,0.640969,0.4,0.174194,0.232143,0
27,0.489583,0.272727,0.397436,0.089655,0.146982,0.169014,0.352201,0.479442,0.182609,0.148387,0.375,0
28,0.375,0.431818,0.358974,0.068966,0.112861,0.140845,0.213836,0.567548,0.46087,0.135484,0.285714,0
29,0.322917,0.454545,0.153846,0.075862,0.125984,0.084507,0.138365,0.508811,0.443478,0.064516,0.178571,0
30,0.427083,0.443182,0.051282,0.089655,0.223097,0.183099,0.314465,0.450073,0.304348,0.129032,0.446429,0
31,0.239583,0.602273,0.102564,0.062069,0.165354,0.295775,0.522013,0.428047,0.417391,0.090323,0.142857,0
32,0.427083,0.443182,0.051282,0.089655,0.223097,0.183099,0.314465,0.450073,0.304348,0.129032,0.446429,0
33,0.197917,0.386364,0.012821,0.041379,0.068241,0.225352,0.125786,0.376652,0.469565,0.116129,0.25,0
34,0.333333,1.0,0.064103,0.089655,0.131234,0.169014,0.144654,0.428047,0.313043,0.096774,0.267857,0
